sn,Comments,Labels
4898,You listened to why my payment was late! I was involved in a car accident and was unable to make the payment. It would have been nice though if you could have sent out a reminder instead of the way the statement read! It was a little harsh fir someone who never missed a payment!,"Account Communications ,Payments "
4899,Good service,Customer Service 
4900,Great customer service and a very user-friendly online banking site,"Customer Service ,Website "
4901,excellent customer service,Customer Service 
4902,Great service,Customer Service 
4903,My call was answered and problem fixed.,"Issue Resolution ,Representative "
4904,"Easy to use, safe to use very reliable authentication! Love the point system","Rewards ,Rewards "
4905,Customer service was great and very helpful.,"Customer Service ,Representative "
4906,Good customer service and listening to me properly,"Customer Service ,Representative ,Representative "
4907,Efficient and pleasant staff,"Representative ,Representative "
4908,Just because the customer service was good and got my answer quickly,Customer Service 
4909,Satisfied with the help I received,Representative 
4910,Credit report is not the same than my history payment with them. Its the reason why I paid the total amount on my credit card,"Payments ,Policy "
4911,"The card is not what I thought it was going to be. 
Some grocery stores don't take master card and I'm only receiving a cash back percentage on Costc and restaurant purchases ... other then that it's 1%. My visa gives me far better .","Rewards ,Rewards "
4912,"When I call, I am more than pleased with the service.",Customer Service 
4913,Person was very polite,Representative 
4914,I am satisfied by the service,Customer Service 
4915,It's a great way to reestablish one's credit,"Life Events ,Policy "
4916,Very proactive and always helpful,"Representative ,Representative "
4917,I'm having difficulty with the interest rate{s} of credit cards currently.....trying to find a lower interest rate cc.,Terms 
4918,Poor customer service.Not caring about the cardholder's interest.,Terms 
4919,interest rates,Terms 
4920,"The customer service representative was compassionate and tried to accommodate my needs. She was successful; however, she treated me respectfully throughout the process and I commend that.","Representative ,Representative ,Representative ,Representative "
4921,Very friendly and nice young man answered my question.,"Representative ,Representative "
4922,"Low minimum payment 
Never put late payments even if I past a little be","Payments ,Payments "
4923,"Fast, efficient and friendly service was much appreciated","Customer Service ,Representative "
4924,Good cash back rewards and don't have to worry about points disappearing or not worth much.  No yearly fee.,"Rewards ,Rewards ,Rewards ,Terms "
4925,"You have very professional and nice people working to help, thx","Representative ,Representative ,Representative "
4926,"Good security, friendly service","Customer Service ,Representative "
4927,Very fast and friendly service,Representative 
4928,The lady I was speaking to was very kind patient and gave me great service and answered all my questions,"Customer Service ,Representative ,Representative ,Representative "
4929,"faster crediting to the account. there is no incentive program, like cash back, or airline miles","Promotions and Benefits ,Rewards ,Rewards ,Rewards "
